id,name,attendance,midterm,assignment,logins,study_hours
STU-1000,Student 1,78,53,64,9,1
STU-1001,Student 2,91,91,90,29,11
STU-1002,Student 3,68,58,83,14,13
STU-1003,Student 4,54,45,92,22,2
STU-1004,Student 5,82,53,36,9,11
STU-1005,Student 6,47,73,78,24,12
STU-1006,Student 7,60,22,60,23,12
STU-1007,Student 8,78,69,87,16,6
STU-1008,Student 9,97,31,90,29,9
STU-1009,Student 10,58,84,53,17,4
STU-1010,Student 11,62,73,49,16,3
STU-1011,Student 12,50,24,66,12,12
STU-1012,Student 13,50,76,33,3,8
STU-1013,Student 14,63,36,49,11,11
STU-1014,Student 15,92,66,89,14,10
STU-1015,Student 16,75,42,53,18,14
STU-1016,Student 17,79,98,79,21,9
STU-1017,Student 18,63,33,78,21,12
STU-1018,Student 19,42,85,80,5,11
STU-1019,Student 20,61,94,65,16,5
STU-1020,Student 21,92,70,95,20,9
STU-1021,Student 22,41,57,63,5,2
STU-1022,Student 23,63,83,65,3,3
STU-1023,Student 24,83,57,35,12,7
STU-1024,Student 25,69,69,68,1,7
STU-1025,Student 26,77,49,71,21,6
STU-1026,Student 27,41,98,87,29,6
STU-1027,Student 28,99,70,41,9,2
STU-1028,Student 29,60,82,32,29,10
STU-1029,Student 30,72,71,47,9,6
STU-1030,Student 31,51,57,69,4,4
STU-1031,Student 32,97,98,50,3,12
STU-1032,Student 33,61,49,44,17,3
STU-1033,Student 34,83,70,55,2,13
STU-1034,Student 35,64,24,37,24,11
STU-1035,Student 36,88,48,71,1,13
STU-1036,Student 37,66,23,73,8,2
STU-1037,Student 38,98,29,43,13,1
STU-1038,Student 39,81,75,31,23,11
STU-1039,Student 40,67,36,66,15,11
STU-1040,Student 41,99,93,98,8,5
STU-1041,Student 42,55,36,67,12,2
STU-1042,Student 43,54,88,70,22,2
STU-1043,Student 44,86,53,91,12,7
STU-1044,Student 45,90,25,89,14,8
STU-1045,Student 46,83,72,43,15,13
STU-1046,Student 47,94,85,31,15,10
STU-1047,Student 48,91,96,99,9,8
STU-1048,Student 49,96,62,46,19,14
STU-1049,Student 50,42,94,57,26,4
STU-1050,Student 51,76,42,95,20,14
STU-1051,Student 52,90,74,64,29,1
STU-1052,Student 53,46,99,34,22,11
STU-1053,Student 54,60,94,94,8,7
STU-1054,Student 55,48,35,69,21,1
STU-1055,Student 56,78,27,85,19,11
STU-1056,Student 57,57,23,65,6,4
STU-1057,Student 58,43,23,74,20,8
STU-1058,Student 59,64,75,52,25,2
STU-1059,Student 60,99,44,76,29,6
STU-1060,Student 61,53,86,60,19,13
STU-1061,Student 62,89,86,40,4,6
STU-1062,Student 63,97,46,39,23,12
STU-1063,Student 64,48,51,96,7,9
STU-1064,Student 65,65,69,43,28,5
STU-1065,Student 66,92,80,39,28,10
STU-1066,Student 67,41,70,30,4,4
STU-1067,Student 68,59,38,34,22,5
STU-1068,Student 69,67,40,49,12,12
STU-1069,Student 70,86,24,37,13,12
STU-1070,Student 71,99,61,72,3,10
STU-1071,Student 72,46,80,30,22,11
STU-1072,Student 73,83,41,86,12,5
STU-1073,Student 74,47,40,93,2,8
STU-1074,Student 75,86,89,57,24,10
STU-1075,Student 76,74,20,66,2,12
STU-1076,Student 77,53,24,76,27,8
STU-1077,Student 78,56,31,66,23,2
STU-1078,Student 79,75,65,78,9,7
STU-1079,Student 80,89,53,73,1,8
STU-1080,Student 81,79,68,85,8,11
STU-1081,Student 82,43,97,57,23,6
STU-1082,Student 83,41,64,35,6,5
STU-1083,Student 84,45,46,90,6,11
STU-1084,Student 85,93,92,49,22,9
STU-1085,Student 86,81,45,31,25,13
STU-1086,Student 87,43,66,66,18,3
STU-1087,Student 88,93,75,49,17,12
STU-1088,Student 89,68,82,55,29,13
STU-1089,Student 90,57,67,58,12,13
STU-1090,Student 91,65,80,30,6,10
STU-1091,Student 92,83,45,64,26,4
STU-1092,Student 93,73,55,99,27,9
STU-1093,Student 94,49,20,88,8,6
STU-1094,Student 95,75,27,98,19,8
STU-1095,Student 96,53,71,62,28,7
STU-1096,Student 97,70,98,80,10,11
STU-1097,Student 98,87,66,41,1,2
STU-1098,Student 99,54,75,49,25,3
STU-1099,Student 100,47,33,82,29,1
STU-1100,Student 101,53,47,72,13,9
STU-1101,Student 102,62,97,79,17,13
STU-1102,Student 103,99,21,58,3,7
STU-1103,Student 104,96,45,86,8,1
STU-1104,Student 105,79,33,68,14,3
STU-1105,Student 106,60,78,85,3,4
STU-1106,Student 107,55,75,72,16,4
STU-1107,Student 108,84,26,79,13,5
STU-1108,Student 109,57,22,52,20,14
STU-1109,Student 110,86,42,73,24,3
STU-1110,Student 111,92,37,67,17,3
STU-1111,Student 112,63,57,52,13,1
STU-1112,Student 113,65,34,74,29,7
STU-1113,Student 114,64,83,81,6,11
STU-1114,Student 115,99,47,79,17,10
STU-1115,Student 116,99,93,37,14,14
STU-1116,Student 117,99,58,30,17,1
STU-1117,Student 118,84,76,37,8,2
STU-1118,Student 119,80,36,58,11,13
STU-1119,Student 120,68,63,34,20,4
STU-1120,Student 121,54,44,76,28,13
STU-1121,Student 122,84,36,63,1,4
STU-1122,Student 123,40,32,94,26,5
STU-1123,Student 124,64,44,84,7,11
STU-1124,Student 125,46,87,72,21,2
STU-1125,Student 126,48,29,59,21,4
STU-1126,Student 127,63,86,46,17,1
STU-1127,Student 128,40,37,55,10,2
STU-1128,Student 129,83,53,37,11,1
STU-1129,Student 130,47,27,76,22,10
STU-1130,Student 131,63,59,75,9,10
STU-1131,Student 132,50,61,97,9,13
STU-1132,Student 133,90,60,62,24,4
STU-1133,Student 134,56,25,30,5,4
STU-1134,Student 135,47,71,48,17,7
STU-1135,Student 136,74,45,60,9,10
STU-1136,Student 137,74,83,43,17,11
STU-1137,Student 138,72,78,82,24,11
STU-1138,Student 139,98,75,77,21,9
STU-1139,Student 140,44,78,98,19,9
STU-1140,Student 141,81,89,91,27,5
STU-1141,Student 142,78,52,95,7,10
STU-1142,Student 143,97,72,93,23,1
STU-1143,Student 144,80,41,99,9,1
STU-1144,Student 145,67,40,92,7,6
STU-1145,Student 146,46,89,62,13,2
STU-1146,Student 147,48,89,70,11,8
STU-1147,Student 148,47,23,77,14,13
STU-1148,Student 149,51,94,42,19,9
STU-1149,Student 150,73,81,60,11,13
STU-1150,Student 151,72,81,97,13,4
STU-1151,Student 152,87,43,33,14,5
STU-1152,Student 153,94,74,48,13,11
STU-1153,Student 154,62,28,99,1,8
STU-1154,Student 155,63,22,42,8,3
STU-1155,Student 156,76,50,52,12,5
STU-1156,Student 157,74,59,30,19,3
STU-1157,Student 158,83,55,83,12,12
STU-1158,Student 159,79,43,44,8,10
STU-1159,Student 160,61,25,94,8,3
STU-1160,Student 161,66,85,44,29,3
STU-1161,Student 162,74,94,50,21,13
STU-1162,Student 163,40,23,48,13,12
STU-1163,Student 164,74,98,89,12,7
STU-1164,Student 165,76,25,62,29,7
STU-1165,Student 166,86,70,78,16,7
STU-1166,Student 167,53,81,64,1,10
STU-1167,Student 168,42,76,73,13,8
STU-1168,Student 169,40,85,40,26,5
STU-1169,Student 170,44,98,95,7,5
STU-1170,Student 171,65,94,75,28,14
STU-1171,Student 172,94,27,38,26,4
STU-1172,Student 173,53,45,32,5,7
STU-1173,Student 174,78,70,55,8,10
STU-1174,Student 175,66,64,77,25,4
STU-1175,Student 176,48,63,95,27,2
STU-1176,Student 177,54,24,99,14,4
STU-1177,Student 178,54,89,57,23,13
STU-1178,Student 179,65,45,55,13,13
STU-1179,Student 180,81,87,54,15,8
STU-1180,Student 181,99,38,41,23,9
STU-1181,Student 182,52,39,34,17,3
STU-1182,Student 183,90,31,77,15,7
STU-1183,Student 184,71,66,66,20,14
STU-1184,Student 185,78,20,73,18,12
STU-1185,Student 186,88,33,44,18,14
STU-1186,Student 187,91,83,72,2,9
STU-1187,Student 188,71,57,77,4,11
STU-1188,Student 189,43,56,99,1,4
STU-1189,Student 190,69,30,75,4,10
STU-1190,Student 191,76,96,72,18,3
STU-1191,Student 192,62,22,50,5,5
STU-1192,Student 193,78,52,52,19,1
STU-1193,Student 194,84,25,76,15,3
STU-1194,Student 195,54,69,44,28,8
STU-1195,Student 196,82,29,54,8,11
STU-1196,Student 197,68,24,65,20,8
STU-1197,Student 198,75,42,80,17,13
STU-1198,Student 199,52,29,44,1,4
STU-1199,Student 200,71,63,97,12,2
STU-1200,Student 201,46,21,50,26,13
STU-1201,Student 202,98,32,42,19,8
STU-1202,Student 203,90,59,48,15,8
STU-1203,Student 204,61,21,63,9,10
STU-1204,Student 205,67,84,97,7,4
STU-1205,Student 206,41,82,81,2,3
STU-1206,Student 207,81,92,56,29,2
STU-1207,Student 208,84,36,58,9,9
STU-1208,Student 209,96,28,57,10,1
STU-1209,Student 210,92,94,64,2,7
STU-1210,Student 211,45,34,37,19,5
STU-1211,Student 212,67,43,45,11,8
